284	奈落の暴君	Tyrannical Pitlord
285	怒り火のヘルカイト	Ragefire Hellkite
286	茨のハイドラ	Briar Hydra
287		Danitha, Benalia's Hope (Showcase)
288		Braids, Arisen Nightmare (Showcase)
289		The Raven Man (Showcase)
290		Sheoldred, the Apocalypse (Showcase)
291		Squee, Dubious Monarch (Showcase)
292		Aron, Benalia's Ruin (Showcase)
293		Astor, Bearer of Blades (Showcase)
294		Baird, Argivian Recruiter (Showcase)
295		Balmor, Battlemage Captain (Showcase)
296		Bortuk Bonerattle (Showcase)
297		Elas il-Kor, Sadistic Pilgrim (Showcase)
298		Ertai Resurrected (Showcase)
299		Garna, Bloodfist of Keld (Showcase)
300		Ivy, Gleeful Spellthief (Showcase)
301		Jhoira, Ageless Innovator (Showcase)
302		Jodah, the Unifier (Showcase)
303		King Darien XLVIII (Showcase)
304		Lagomos, Hand of Hatred (Showcase)
305		Meria, Scholar of Antiquity (Showcase)
306		Nael, Avizoa Aeronaut (Showcase)
307		Najal, the Storm Runner (Showcase)
308		Nemata, Primeval Warden (Showcase)
309		Queen Allenal of Ruadach (Showcase)
310		Radha, Coalition Warlord (Showcase)
311		Raff, Weatherlight Stalwart (Showcase)
312		Ratadrabik of Urborg (Showcase)
313		Rith, Liberated Primeval (Showcase)
314		Rivaz of the Claw (Showcase)
315		Rona, Sheoldred's Faithful (Showcase)
316		Rulik Mons, Warren Chief (Showcase)
317		Shanna, Purifying Blade (Showcase)
318		Sol'Kanar the Tainted (Showcase)
319		Soul of Windgrace (Showcase)
320		Stenn, Paranoid Partisan (Showcase)
321		Tatyova, Steward of Tides (Showcase)
322		Tori D'Avenant, Fury Rider (Showcase)
323		Tura Kennerud, Skyknight (Showcase)
324		Uurg, Spawn of Turg (Showcase)
325		Vohar, Vodalian Desecrator (Showcase)
326		Zar Ojanen, Scion of Efrava (Showcase)
327		Zur, Eternal Schemer (Showcase)
328		Danitha, Benalia's Hope (Textured Foil)
329		Braids, Arisen Nightmare (Textured Foil)
330		The Raven Man (Textured Foil)
331		Sheoldred, the Apocalypse (Textured Foil)
332		Squee, Dubious Monarch (Textured Foil)
333		Aron, Benalia's Ruin (Textured Foil)
334		Astor, Bearer of Blades (Textured Foil)
335		Baird, Argivian Recruiter (Textured Foil)
336		Balmor, Battlemage Captain (Textured Foil)
337		Bortuk Bonerattle (Textured Foil)
338		Elas il-Kor, Sadistic Pilgrim (Textured Foil)
339		Ertai Resurrected (Textured Foil)
340		Garna, Bloodfist of Keld (Textured Foil)
341		Ivy, Gleeful Spellthief (Textured Foil)
342		Jhoira, Ageless Innovator (Textured Foil)
343		Jodah, the Unifier (Textured Foil)
344		King Darien XLVIII (Textured Foil)
345		Lagomos, Hand of Hatred (Textured Foil)
346		Meria, Scholar of Antiquity (Textured Foil)
347		Nael, Avizoa Aeronaut (Textured Foil)
348		Najal, the Storm Runner (Textured Foil)
349		Nemata, Primeval Warden (Textured Foil)
350		Queen Allenal of Ruadach (Textured Foil)
351		Radha, Coalition Warlord (Textured Foil)
352		Raff, Weatherlight Stalwart (Textured Foil)
353		Ratadrabik of Urborg (Textured Foil)
354		Rith, Liberated Primeval (Textured Foil)
355		Rivaz of the Claw (Textured Foil)
356		Rona, Sheoldred's Faithful (Textured Foil)
357		Rulik Mons, Warren Chief (Textured Foil)
358		Shanna, Purifying Blade (Textured Foil)
359		Sol'Kanar the Tainted (Textured Foil)
360		Soul of Windgrace (Textured Foil)
361		Stenn, Paranoid Partisan (Textured Foil)
362		Tatyova, Steward of Tides (Textured Foil)
363		Tori D'Avenant, Fury Rider (Textured Foil)
364		Tura Kennerud, Skyknight (Textured Foil)
365		Uurg, Spawn of Turg (Textured Foil)
366		Vohar, Vodalian Desecrator (Textured Foil)
367		Zar Ojanen, Scion of Efrava (Textured Foil)
368		Zur, Eternal Schemer (Textured Foil)
369		Sheoldred, the Apocalypse (Phyrexian)
370		Ajani, Sleeper Agent (Phyrexian)
371		Ajani, Sleeper Agent (371)
372		Karn, Living Legacy (Borderless)
373		Liliana of the Veil (Borderless)
374		Jaya, Fiery Negotiator (Borderless)
375		Ajani, Sleeper Agent (Borderless) (375)
376		Ajani, Sleeper Agent (376)
377		Adarkar Wastes (Borderless)
378		Caves of Koilos (Borderless)
379		Karplusan Forest (Borderless)
